key1,key2,confidence,support
['California'],['US'],0.9998621526246139,0.27903917027644626
['US'],['California'],0.6651200322775872,0.27903917027644626
['US'],['Washington'],0.15856364736735928,0.06652253194943487
['Washington'],['US'],1.000810278967473,0.06652253194943487
['US'],['Virginie Boone'],0.3386762521319714,0.1420855421594048
['Virginie Boone'],['US'],0.9982162162162164,0.1420855421594048
['Matt Kettmann'],['US'],0.9986278814489572,0.08399566057043495
['US'],['Matt Kettmann'],0.200212738643241,0.08399566057043495
['Paul Gregutt'],['US'],0.9724509504930364,0.07360103407683252
['US'],['Paul Gregutt'],0.17543602252095292,0.07360103407683252
['Jim Gordon'],['US'],0.9971814270879692,0.05171922967431196
['US'],['Jim Gordon'],0.12327837585049609,0.05171922967431196
['Pinot Noir'],['US'],0.7472875226039782,0.07630933054296728
['US'],['Pinot Noir'],0.18189153997102353,0.07630933054296728
['Chardonnay'],['US'],0.5791712754190419,0.05237322171869109
['US'],['Chardonnay'],0.12483723659838246,0.05237322171869109
['Cabernet Sauvignon'],['US'],0.7725929054054055,0.0563048680090174
['US'],['Cabernet Sauvignon'],0.1342087406239111,0.0563048680090174
['France'],['Roger Voss'],0.8500384632788813,0.1445322418077879
['Roger Voss'],['France'],0.7275086170171566,0.1445322418077879
['Italy'],['Kerin O¡¯Keefe'],0.9657271471686533,0.1452554800686307
['Kerin O¡¯Keefe'],['Italy'],0.9996822875297856,0.1452554800686307
['Michael Schachner'],['Spain'],0.43155166828636216,0.05124989420716929
['Spain'],['Michael Schachner'],1.0019554753309265,0.05124989420716929
['California'],['Virginie Boone'],0.5064512571680635,0.14133922182640743
['Virginie Boone'],['California'],0.992972972972973,0.14133922182640743
['California'],['Matt Kettmann'],0.2994872077635642,0.08358018327165291
['Matt Kettmann'],['California'],0.993688254665203,0.08358018327165291
['California'],['Jim Gordon'],0.1840262461402735,0.05135761054389056
['Jim Gordon'],['California'],0.9902091677792614,0.05135761054389056
['California'],['Pinot Noir'],0.1909461843846493,0.053288810580821876
['Pinot Noir'],['California'],0.5218505123568414,0.053288810580821876
['California'],"['US', 'Virginie Boone']",0.5064512571680635,0.14133922182640743
['US'],"['California', 'Virginie Boone']",0.33689731692555985,0.14133922182640743
['Virginie Boone'],"['California', 'US']",0.992972972972973,0.14133922182640743
['California'],"['Matt Kettmann', 'US']",0.29945963828848693,0.08357248924760138
['Matt Kettmann'],"['California', 'US']",0.9935967800951335,0.08357248924760138
['US'],"['California', 'Matt Kettmann']",0.19920406404166743,0.08357248924760138
['California'],"['Jim Gordon', 'US']",0.18397110719011908,0.05134222249578752
['Jim Gordon'],"['California', 'US']",0.9899124758937844,0.05134222249578752
['US'],"['California', 'Jim Gordon']",0.12237973847818512,0.05134222249578752
['California'],"['Pinot Noir', 'US']",0.19028451698279664,0.05310415400358542
['Pinot Noir'],"['California', 'US']",0.520042194092827,0.05310415400358542
['US'],"['California', 'Pinot Noir']",0.1265794927283731,0.05310415400358542
